digit 0 average (6, 6): 1.41319385861
digit 0 average (13, 13): 77.0
digit 1 average (6, 6): 1.43666567784
digit 1 average (13, 13): 83.7652032038
digit 2 average (6, 6): 1.34239677744
digit 2 average (13, 13): 84.5359180933
digit 3 average (6, 6): 1.40831973899
digit 3 average (13, 13): 75.3296900489
digit 4 average (6, 6): 1.28603218076
digit 4 average (13, 13): 88.2927079767
digit 5 average (6, 6): 1.4275696623
digit 5 average (13, 13): 77.3140800886
digit 6 average (6, 6): 1.37333107994
digit 6 average (13, 13): 76.6177116782
digit 7 average (6, 6): 1.73232242618
digit 7 average (13, 13): 73.2071827614
digit 8 average (6, 6): 1.25658119658
digit 8 average (13, 13): 74.7268376068
digit 9 average (6, 6): 1.93880295898
digit 9 average (13, 13): 86.0679219906
